Country,Happiness.Rank,Happiness.Score,Economy..GDP.per.Capita.,Health..Life.Expectancy.,Freedom,Generosity
Norway,1,7.537000179290769,1.6164631843566901,0.796666502952576,0.635422587394714,0.36201223731041
Denmark,2,7.52199983596802,1.48238301277161,0.7925655245780941,0.626006722450256,0.3552804887294771
Iceland,3,7.50400018692017,1.480633020401,0.8335521221160892,0.6271626353263849,0.47554022073745705
Switzerland,4,7.49399995803833,1.5649795532226598,0.858131289482117,0.620070576667786,0.29054927825927696
Finland,5,7.468999862670901,1.44357192516327,0.80915766954422,0.6179508566856379,0.24548277258873
Netherlands,6,7.3769998550415,1.50394463539124,0.8106961250305179,0.5853844881057739,0.47048982977867104
Canada,7,7.31599998474121,1.47920441627502,0.83455765247345,0.611100912094116,0.435539722442627
New Zealand,8,7.31400012969971,1.40570604801178,0.816759705543518,0.6140621304512021,0.500005125999451
Sweden,9,7.28399991989136,1.49438726902008,0.830875158309937,0.612924098968506,0.38539925217628496
Australia,10,7.28399991989136,1.4844149351120002,0.84388679265976,0.601607382297516,0.47769924998283403
Israel,11,7.212999820709231,1.3753824234008798,0.83840399980545,0.40598860383033797,0.330082654953003
Costa Rica,12,7.0789999961853,1.10970628261566,0.7595092654228209,0.580131649971008,0.21461322903633104
Austria,13,7.00600004196167,1.4870972633361799,0.8153284192085269,0.567766189575195,0.316472321748734
United States,14,6.993000030517581,1.54625928401947,0.7742866277694699,0.505740523338318,0.392578780651093
Ireland,15,6.9770002365112305,1.5357066392898602,0.8097826242446899,0.5731103420257571,0.42785832285881
Germany,16,6.9510002136230495,1.48792338371277,0.798950731754303,0.562511384487152,0.33626917004585305
Belgium,17,6.89099979400635,1.4637807607650801,0.8180918693542479,0.5397707223892211,0.23150333762168898
Luxembourg,18,6.86299991607666,1.74194359779358,0.845089495182037,0.59662789106369,0.283180981874466
United Kingdom,19,6.71400022506714,1.44163393974304,0.805335938930511,0.508190035820007,0.492774158716202
Chile,20,6.65199995040894,1.25278460979462,0.8194797039031979,0.376895278692245,0.3266624212265011
United Arab Emirates,21,6.6479997634887695,1.6263433694839498,0.726798236370087,0.60834527015686,0.3609419465065
Brazil,22,6.6350002288818395,1.1073532104492199,0.6165523529052729,0.437453746795654,0.16234989464282998
Czech Republic,23,6.60900020599365,1.35268235206604,0.754444003105164,0.49094617366790794,0.0881067588925362
Argentina,24,6.59899997711182,1.18529546260834,0.695137083530426,0.49451920390129106,0.109457060694695
Mexico,25,6.57800006866455,1.1531838178634601,0.709978997707367,0.412730008363724,0.12099043279886199
Singapore,26,6.57200002670288,1.69227766990662,0.9494923949241642,0.549840569496155,0.345965981483459
Malta,27,6.52699995040894,1.34327983856201,0.821944236755371,0.588767051696777,0.5747305750846861
Uruguay,28,6.4539999961853,1.2175596952438401,0.719216823577881,0.5793922543525699,0.175096929073334
Guatemala,29,6.4539999961853,0.872001945972443,0.540239989757538,0.5313106179237371,0.283488392829895
Panama,30,6.4520001411438,1.23374843597412,0.706156134605408,0.550026834011078,0.21055693924427
France,31,6.44199991226196,1.43092346191406,0.8444658517837521,0.470222115516663,0.129762306809425
Thailand,32,6.4239997863769505,1.12786877155304,0.647239029407501,0.580200731754303,0.572123110294342
Taiwan Province of China,33,6.42199993133545,1.4336265325546298,0.793984234333038,0.361466586589813,0.258360475301743
Spain,34,6.40299987792969,1.38439786434174,0.888960599899292,0.408781230449677,0.190133571624756
Qatar,35,6.375,1.8707656860351598,0.7100980877876278,0.604130983352661,0.33047387003898604
Colombia,36,6.35699987411499,1.07062232494354,0.595027923583984,0.47748741507530196,0.14901447296142598
Saudi Arabia,37,6.343999862670901,1.53062355518341,0.590148329734802,0.449750572443008,0.147616013884544
Trinidad and Tobago,38,6.1680002212524405,1.36135590076447,0.5199832916259771,0.518630743026733,0.32529646158218395
Kuwait,39,6.10500001907349,1.63295245170593,0.6321057081222529,0.49633759260177596,0.228289797902107
Slovakia,40,6.09800004959106,1.32539355754852,0.712732911109924,0.295817464590073,0.136544480919838
Bahrain,41,6.08699989318848,1.4884122610092199,0.653133034706116,0.536746919155121,0.17266848683357197
Malaysia,42,6.08400011062622,1.29121541976929,0.618784427642822,0.40226498246192893,0.416608929634094
Nicaragua,43,6.07100009918213,0.737299203872681,0.6530959606170649,0.447551846504211,0.301674216985703
Ecuador,44,6.00799989700317,1.00082039833069,0.685636222362518,0.4551981985569,0.15011246502399403
El Salvador,45,6.002999782562259,0.9097844958305359,0.596018552780151,0.432452529668808,0.0782579854130745
Poland,46,5.97300004959106,1.29178786277771,0.699475347995758,0.520342111587524,0.158465966582298
Uzbekistan,47,5.97100019454956,0.786441087722778,0.498272627592087,0.6582486629486078,0.41598364710807795
Italy,48,5.96400022506714,1.3950666189193701,0.8531443476676941,0.256450712680817,0.17278964817523998
Russia,49,5.962999820709231,1.28177809715271,0.547349333763123,0.373783111572266,0.0522638224065304
Belize,50,5.955999851226809,0.907975316047668,0.45019176602363603,0.5475093722343439,0.24001564085483604
Japan,51,5.92000007629395,1.41691517829895,0.9134758710861209,0.505625545978546,0.12057276815175999
Lithuania,52,5.90199995040894,1.3145823478698702,0.62894994020462,0.234231784939766,0.010164656676352
Algeria,53,5.872000217437741,1.09186446666718,0.6175846457481379,0.233335807919502,0.0694366469979286
Latvia,54,5.849999904632571,1.26074862480164,0.638566970825195,0.32570791244506797,0.153074786067009
South Korea,55,5.837999820709231,1.40167844295502,0.900214076042175,0.257921665906906,0.206674367189407
Moldova,56,5.837999820709231,0.7288706302642819,0.5894652009010309,0.24072904884815197,0.20877912640571603
Romania,57,5.824999809265139,1.21768391132355,0.6851583123207089,0.457003742456436,0.133519917726517
Bolivia,58,5.82299995422363,0.833756566047668,0.47363024950027505,0.5587329268455511,0.22556072473526
Turkmenistan,59,5.82200002670288,1.1307767629623402,0.437726080417633,0.41827192902565,0.24992498755454998
Kazakhstan,60,5.8189997673034695,1.2845562696456898,0.6060415506362921,0.43745428323745705,0.20196442306041698
North Cyprus,61,5.80999994277954,1.3469113111496,0.834647238254547,0.47120362520217896,0.266845703125
Slovenia,62,5.75799989700317,1.3412059545516999,0.7908282279968258,0.572575807571411,0.242649093270302
Peru,63,5.71500015258789,1.0352252721786501,0.6301661133766171,0.45000287890434293,0.126819714903831
Mauritius,64,5.62900018692017,1.1893955469131499,0.6380074620246889,0.491247326135635,0.360933750867844
Cyprus,65,5.62099981307983,1.3559380769729599,0.84471470117569,0.35511153936386103,0.271254301071167
Estonia,66,5.61100006103516,1.3208793401718102,0.695168316364288,0.479131430387497,0.0988908112049103
Belarus,67,5.5689997673034695,1.15655755996704,0.6377142667770389,0.295400261878967,0.15513750910759
Libya,68,5.525000095367429,1.1018030643463101,0.520169019699097,0.465733230113983,0.15207366645336198
Turkey,69,5.5,1.1982743740081798,0.6376056075096129,0.300740599632263,0.0466930419206619
Paraguay,70,5.493000030517581,0.932537317276001,0.579250693321228,0.473507791757584,0.224150657653809
"Hong Kong S.A.R., China",71,5.47200012207031,1.55167484283447,0.943062424659729,0.490968644618988,0.374465793371201
Philippines,72,5.42999982833862,0.85769921541214,0.46800905466079706,0.585214674472809,0.193513423204422
Serbia,73,5.39499998092651,1.06931757926941,0.65078467130661,0.20871552824974102,0.22012588381767298
Jordan,74,5.33599996566772,0.9910123944282528,0.6045900583267211,0.418421149253845,0.17217046022415197
Hungary,75,5.32399988174438,1.2860119342803997,0.6877634525299069,0.17586351931095098,0.0784016624093056
Jamaica,76,5.31099987030029,0.925579309463501,0.6410223841667181,0.474307239055634,0.23381833732128102
Croatia,77,5.2930002212524405,1.22255623340607,0.701288521289825,0.255772292613983,0.248002976179123
Kosovo,78,5.27899980545044,0.951484382152557,0.541452050209045,0.260287940502167,0.319931447505951
China,79,5.2729997634887695,1.08116579055786,0.741415500640869,0.47278770804405196,0.0288068410009146
Pakistan,80,5.26900005340576,0.7268835306167599,0.40204778313636796,0.23521526157856,0.31544601917266807
Indonesia,81,5.26200008392334,0.995538592338562,0.49234572052955605,0.443323463201523,0.611704587936401
Venezuela,82,5.25,1.12843120098114,0.617144227027893,0.15399712324142498,0.0650196298956871
Montenegro,83,5.23699998855591,1.12112903594971,0.6674646735191351,0.194989055395126,0.197911024093628
Morocco,84,5.2350001335144,0.8781145811080929,0.59771066904068,0.408158332109451,0.0322099551558495
Azerbaijan,85,5.234000205993651,1.1536017656326298,0.5407757759094239,0.39815583825111406,0.0452693402767181
Dominican Republic,86,5.230000019073491,1.07937383651733,0.574873745441437,0.55258983373642,0.186967849731445
Greece,87,5.2270002365112305,1.28948748111725,0.8101989030838009,0.0957312509417534,0.0
Lebanon,88,5.22499990463257,1.07498753070831,0.7350810766220089,0.28851598501205394,0.26445075869560203
Portugal,89,5.19500017166138,1.3151752948761002,0.795843541622162,0.498465299606323,0.0951027125120163
Bosnia and Herzegovina,90,5.18200016021729,0.982409417629242,0.705186307430267,0.204403176903725,0.328867495059967
Honduras,91,5.1810002326965305,0.730573117733002,0.582569479942322,0.348079860210419,0.23618887364864302
Macedonia,92,5.175000190734861,1.06457793712616,0.644948184490204,0.325905978679657,0.25376096367836
Somalia,93,5.151000022888179,0.0226431842893362,0.11398913711309401,0.602126955986023,0.291631311178207
Vietnam,94,5.07399988174438,0.7885475754737851,0.6521689891815191,0.571055591106415,0.23496805131435397
Nigeria,95,5.07399988174438,0.783756256103516,0.0569157302379608,0.394952565431595,0.23094719648361198
Tajikistan,96,5.04099988937378,0.524713635444641,0.5292351245880129,0.47156670689582797,0.24899764358997303
Bhutan,97,5.01100015640259,0.885416388511658,0.495879292488098,0.5015376806259161,0.474054545164108
Kyrgyzstan,98,5.0040001869201705,0.5962200760841371,0.553457796573639,0.454943388700485,0.42858037352562
Nepal,99,4.961999893188481,0.479820191860199,0.504130780696869,0.44030594825744607,0.39409616589546204
Mongolia,100,4.95499992370605,1.0272358655929599,0.557783484458923,0.39414396882057207,0.338464230298996
South Africa,101,4.8289999961853,1.05469870567322,0.18708007037639604,0.479246735572815,0.13936237990856198
Tunisia,102,4.80499982833862,1.00726580619812,0.613212049007416,0.289680689573288,0.0496933571994305
Palestinian Territories,103,4.77500009536743,0.716249227523804,0.565666973590851,0.25471106171608,0.114173173904419
Egypt,104,4.7350001335144,0.989701807498932,0.520187258720398,0.28211015462875394,0.128631442785263
Bulgaria,105,4.71400022506714,1.1614590883255,0.708217680454254,0.28923171758651695,0.113177694380283
Sierra Leone,106,4.70900011062622,0.36842092871666,0.005564753897488121,0.318697690963745,0.293040901422501
Cameroon,107,4.69500017166138,0.564305365085602,0.132892116904259,0.430388748645782,0.23629845678806302
Iran,108,4.69199991226196,1.15687310695648,0.639333188533783,0.24932260811328896,0.387242913246155
Albania,109,4.64400005340576,0.996192753314972,0.731159746646881,0.381498634815216,0.20131294429302202
Bangladesh,110,4.60799980163574,0.586682975292206,0.533241033554077,0.478356659412384,0.17225535213947304
Namibia,111,4.57399988174438,0.964434325695038,0.33861181139946,0.520303547382355,0.0771337449550629
Kenya,112,4.55299997329712,0.560479462146759,0.30998834967613204,0.45276376605033897,0.444860309362411
Mozambique,113,4.550000190734861,0.23430564999580397,0.10665443539619399,0.48079109191894503,0.322228103876114
Myanmar,114,4.54500007629395,0.36711055040359497,0.397522568702698,0.514492034912109,0.8380751609802249
Senegal,115,4.53499984741211,0.479309022426605,0.409362852573395,0.37792226672172496,0.183468893170357
Zambia,116,4.513999938964839,0.6364067792892459,0.25783589482307395,0.461603492498398,0.249580144882202
