Overall rank,Country or region,Score,GDP per capita,Healthy life expectancy,Freedom to make life choices,Generosity
1,Finland,7.632000000000001,1.305,0.8740000000000001,0.6809999999999999,0.20199999999999999
2,Norway,7.593999999999999,1.456,0.861,0.6859999999999999,0.28600000000000003
3,Denmark,7.555,1.351,0.868,0.6829999999999999,0.284
4,Iceland,7.495,1.3430000000000002,0.914,0.677,0.353
5,Switzerland,7.487,1.42,0.927,0.66,0.256
6,Netherlands,7.441,1.361,0.878,0.638,0.33299999999999996
7,Canada,7.327999999999999,1.33,0.8959999999999999,0.653,0.321
8,New Zealand,7.324,1.268,0.8759999999999999,0.669,0.365
9,Sweden,7.314,1.355,0.9129999999999999,0.659,0.285
10,Australia,7.272,1.34,0.91,0.647,0.361
11,United Kingdom,7.19,1.244,0.888,0.46399999999999997,0.262
12,Austria,7.138999999999999,1.341,0.8909999999999999,0.617,0.242
13,Costa Rica,7.072,1.01,0.8170000000000001,0.632,0.14300000000000002
14,Ireland,6.977,1.4480000000000002,0.8759999999999999,0.614,0.307
15,Germany,6.965,1.34,0.861,0.586,0.273
16,Belgium,6.9270000000000005,1.324,0.894,0.583,0.188
17,Luxembourg,6.91,1.5759999999999998,0.8959999999999999,0.632,0.196
18,United States,6.886,1.3980000000000001,0.8190000000000001,0.547,0.29100000000000004
19,Israel,6.814,1.301,0.883,0.5329999999999999,0.354
20,United Arab Emirates,6.774,2.096,0.67,0.284,0.18600000000000003
21,Czech Republic,6.711,1.2329999999999999,0.8540000000000001,0.5429999999999999,0.064
22,Malta,6.627000000000001,1.27,0.884,0.645,0.376
23,France,6.489,1.2930000000000001,0.9079999999999999,0.52,0.098
24,Mexico,6.4879999999999995,1.038,0.7609999999999999,0.479,0.069
25,Chile,6.476,1.131,0.8079999999999999,0.431,0.19699999999999998
26,Taiwan,6.441,1.365,0.857,0.418,0.151
27,Panama,6.43,1.112,0.759,0.597,0.125
28,Brazil,6.419,0.986,0.675,0.493,0.11
29,Argentina,6.388,1.073,0.7440000000000001,0.57,0.062
30,Guatemala,6.382000000000001,0.7809999999999999,0.608,0.604,0.179
31,Uruguay,6.379,1.093,0.7709999999999999,0.625,0.13
32,Qatar,6.374,1.649,0.748,0.654,0.256
33,Saudi Arabia,6.371,1.379,0.633,0.509,0.098
34,Singapore,6.343,1.5290000000000001,1.008,0.631,0.261
35,Malaysia,6.322,1.161,0.669,0.35600000000000004,0.311
